6dd190e3e1931fc01fce07f41cdcd144d679e560,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_14_49/results.pth,136925856,
44c5ef29bb2ebc34387c08cda88d184b80d46ca8,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_14_49/state_dict.pth,130215,
d1286f005a2280af0a318365a00e9beb65f84265,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_22_09/results.pth,136999328,
ee57df7dd50941754d7a57e9fcdc12dc88892efb,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_22_09/state_dict.pth,130215,
795fe8efa4b522c391aaa2fd046065df329a85ac,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_27_09/results.pth,137002336,
af10d9de6e1e75b902dfd2de2ec33d3cfe8dd53e,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_27_09/state_dict.pth,130215,
879e7f4eb1d79b45536c61a050ba2f756d0f6233,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_47_50/results.pth,136982560,
395a432cb95006049c4c49286687a4b736f86306,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_47_50/state_dict.pth,130215,
d8c4348f528d5b0c5edba6aa4ce13d39154b8e88,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_50_52/results.pth,136986400,
975d978d921bb3b090f0deba1cc25d714a800fcf,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_50_52/state_dict.pth,130215,
f69bf0432a5441038fdbb34f89743ed048ff59ac,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_53_50/results.pth,136986208,
b2ad69aba02799af54da25c1755b784ac6c0cd1e,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_53_50/state_dict.pth,130215,
4aced978d341dcc6ba8dfd11bda5d298a5bf67eb,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_57_47/results.pth,137000608,
690594dc33c4834d6ccb3a32ee78d0ff0c2f6d12,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__15_57_47/state_dict.pth,130215,
84cdfceabe91bbb6ff6262a42b19ce6039976add,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__16_01_26/results.pth,136996896,
4bd11810913452eb007c1b4e1df6052060b37267,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__16_01_26/state_dict.pth,130215,
6521197bbe178dae5097fc0c20efaf9ea268e28f,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__16_04_06/results.pth,136990368,
99cef670e652cb9c491ee1859ce93eb2c683061b,DELETE,regular-file,Result/GMM10/GMM_default_2024_12_31__16_04_06/state_dict.pth,130215,
